,max_depth,minInstancesPerNode,training f1,testing f1,Best Model
34,5.0,9.0,0.9543887293398056,0.9543856053332758,0.0
35,5.0,10.0,0.9543887293398056,0.9543856053332758,0.0
36,6.0,2.0,0.9781220432312583,0.9317262421644676,0.0
37,6.0,3.0,0.978210499178241,0.932227412120497,0.0
38,6.0,4.0,0.9764397074190179,0.9398496240601504,0.0
39,6.0,5.0,0.970947332237655,0.9398496240601504,0.0
40,6.0,6.0,0.96,0.9547435806497376,0.0
41,6.0,7.0,0.9561818616166443,0.9317262421644676,0.0
42,6.0,8.0,0.9541155015780937,0.9388930156717095,0.0
43,6.0,9.0,0.9543887293398056,0.9543856053332758,0.0
44,6.0,10.0,0.9543887293398056,0.9543856053332758,0.0
45,7.0,2.0,0.9835799425623301,0.9394354832951323,0.0
46,7.0,3.0,0.9836890282131662,0.9474422338203952,0.0
47,7.0,4.0,0.9801126403887886,0.9550081497449918,0.0
48,7.0,5.0,0.970947332237655,0.9398496240601504,0.0
49,7.0,6.0,0.96,0.9547435806497376,0.0
50,7.0,7.0,0.9561818616166443,0.9317262421644676,0.0
51,7.0,8.0,0.9541155015780937,0.9388930156717095,0.0
52,7.0,9.0,0.9543887293398056,0.9543856053332758,0.0
53,7.0,10.0,0.9543887293398056,0.9543856053332758,0.0
54,8.0,2.0,0.9853726593519074,0.9394354832951323,0.0
55,8.0,3.0,0.9836890282131662,0.9474422338203952,0.0
56,8.0,4.0,0.9801126403887886,0.9550081497449918,0.0
57,8.0,5.0,0.970947332237655,0.9398496240601504,0.0
58,8.0,6.0,0.96,0.9547435806497376,0.0
59,8.0,7.0,0.9561818616166443,0.9317262421644676,0.0
60,8.0,8.0,0.9541155015780937,0.9388930156717095,0.0
61,8.0,9.0,0.9543887293398056,0.9543856053332758,0.0
62,8.0,10.0,0.9543887293398056,0.9543856053332758,0.0
63,9.0,2.0,0.9853726593519074,0.9394354832951323,0.0
64,9.0,3.0,0.9836890282131662,0.9474422338203952,0.0
65,9.0,4.0,0.9801126403887886,0.9550081497449918,0.0
66,9.0,5.0,0.970947332237655,0.9398496240601504,0.0
67,9.0,6.0,0.96,0.9547435806497376,0.0
68,9.0,7.0,0.9561818616166443,0.9317262421644676,0.0
69,9.0,8.0,0.9541155015780937,0.9388930156717095,0.0
70,9.0,9.0,0.9543887293398056,0.9543856053332758,0.0
71,9.0,10.0,0.9543887293398056,0.9543856053332758,0.0
72,10.0,2.0,0.9853726593519074,0.9394354832951323,0.0
73,10.0,3.0,0.9836890282131662,0.9474422338203952,0.0
74,10.0,4.0,0.9801126403887886,0.9550081497449918,0.0
75,10.0,5.0,0.970947332237655,0.9398496240601504,0.0
76,10.0,6.0,0.96,0.9547435806497376,0.0
77,10.0,7.0,0.9561818616166443,0.9317262421644676,0.0
78,10.0,8.0,0.9541155015780937,0.9388930156717095,0.0
79,10.0,9.0,0.9543887293398056,0.9543856053332758,0.0
80,10.0,10.0,0.9543887293398056,0.9543856053332758,0.0
81,11.0,2.0,0.9853726593519074,0.9394354832951323,0.0
82,11.0,3.0,0.9836890282131662,0.9474422338203952,0.0
83,11.0,4.0,0.9801126403887886,0.9550081497449918,0.0
84,11.0,5.0,0.970947332237655,0.9398496240601504,0.0
85,11.0,6.0,0.96,0.9547435806497376,0.0
86,11.0,7.0,0.9561818616166443,0.9317262421644676,0.0
87,11.0,8.0,0.9541155015780937,0.9388930156717095,0.0
88,11.0,9.0,0.9543887293398056,0.9543856053332758,0.0
89,11.0,10.0,0.9543887293398056,0.9543856053332758,0.0
